iter	Passed	Remaining
0	2	201
1	3	192
2	5	187
3	7	175
4	9	177
5	11	175
6	13	173
7	15	172
8	16	170
9	18	167
10	20	165
11	22	165
12	24	162
13	26	160
14	27	158
15	29	157
16	31	155
17	33	153
18	35	151
19	37	149
20	39	148
21	41	146
22	43	144
23	45	142
24	46	140
25	48	139
26	50	137
27	52	135
28	54	133
29	56	131
30	58	130
31	60	128
32	62	126
33	64	124
34	66	122
35	68	121
36	69	119
37	71	117
38	73	115
39	75	113
40	77	110
41	77	107
42	79	105
43	80	102
44	82	100
45	83	98
46	85	96
47	87	94
48	89	92
49	90	90
50	92	88
51	94	86
52	95	84
53	97	83
54	99	81
55	100	79
56	102	77
57	104	75
58	105	73
59	107	71
60	109	69
61	111	68
62	112	66
63	114	64
64	116	62
65	117	60
66	119	58
67	121	57
68	122	55
69	124	53
70	126	51
71	127	49
72	129	47
73	131	46
74	133	44
75	134	42
76	136	40
77	138	39
78	140	37
79	141	35
80	143	33
81	145	31
82	146	30
83	148	28
84	150	26
85	151	24
86	153	22
87	155	21
88	156	19
89	158	17
90	160	15
91	161	14
92	163	12
93	165	10
94	166	8
95	168	7
96	170	5
97	171	3
98	173	1
99	175	0
